id,image,id-ID
1,,angka
2,,hari
3,,tanggal dan jumlah hari
4,,keterangan waktu
5,,warna
6,,satuan
7,,kata ganti
8,,manusia dan bagian tubuh
9,,keluarga
10,,alam
11,,musim
12,,binatang
13,,benda yang digunakan sehari-hari
14,,pakaian
15,,makanan dan minuman
16,,hobi
17,,kota
18,,alat transportasi
19,,sekolah dan pelajaran bahasa
20,,bangunan dan bagiannya
21,,rumah dan bagiannya
22,,peralatan rumah tangga
23,,peralatan makan
24,,bumbu dapur
25,,alat tulis
26,,jabatan pekerjaan
27,,arah
28,,kata penunjuk
29,,kata tanya
30,,kata sambung
31,,kata keterangan
32,,kata sifat 1
33,,kata sifat non i
34,,kata kerja golongan 1
35,,kata kerja golongan 2
36,,kata kerja golongan 3
37,,kata kerja golongan 4